project,organism,file_source,project_home,project_type,n_samples
SRP078920,human,sra,data_sources/sra,data_sources,4
SRP110620,human,sra,data_sources/sra,data_sources,34
SRP186520,human,sra,data_sources/sra,data_sources,12
SRP087720,human,sra,data_sources/sra,data_sources,20
DRP003120,human,sra,data_sources/sra,data_sources,16
ERP091820,human,sra,data_sources/sra,data_sources,117
SRP045257,human,sra,data_sources/sra,data_sources,4
SRP178257,human,sra,data_sources/sra,data_sources,16
SRP076757,human,sra,data_sources/sra,data_sources,6
SRP096757,human,sra,data_sources/sra,data_sources,245
SRP200157,human,sra,data_sources/sra,data_sources,15
SRP041057,human,sra,data_sources/sra,data_sources,2
SRP123057,human,sra,data_sources/sra,data_sources,6
SRP120157,human,sra,data_sources/sra,data_sources,17
SRP069357,human,sra,data_sources/sra,data_sources,20
SRP080757,human,sra,data_sources/sra,data_sources,2
SRP093557,human,sra,data_sources/sra,data_sources,1
SRP130957,human,sra,data_sources/sra,data_sources,8
SRP159457,human,sra,data_sources/sra,data_sources,6
SRP064457,human,sra,data_sources/sra,data_sources,5
SRP106457,human,sra,data_sources/sra,data_sources,4
SRP071557,human,sra,data_sources/sra,data_sources,20
SRP151057,human,sra,data_sources/sra,data_sources,7
SRP033057,human,sra,data_sources/sra,data_sources,2
SRP121057,human,sra,data_sources/sra,data_sources,2
SRP136057,human,sra,data_sources/sra,data_sources,202
SRP092457,human,sra,data_sources/sra,data_sources,23
SRP089857,human,sra,data_sources/sra,data_sources,36
SRP048557,human,sra,data_sources/sra,data_sources,2
SRP068057,human,sra,data_sources/sra,data_sources,12
SRP079357,human,sra,data_sources/sra,data_sources,36
DRP005257,human,sra,data_sources/sra,data_sources,8
SRP173457,human,sra,data_sources/sra,data_sources,12
SRP012557,human,sra,data_sources/sra,data_sources,42
SRP183757,human,sra,data_sources/sra,data_sources,10
SRP034157,human,sra,data_sources/sra,data_sources,3
SRP075557,human,sra,data_sources/sra,data_sources,9
SRP159657,human,sra,data_sources/sra,data_sources,6
SRP093757,human,sra,data_sources/sra,data_sources,10
SRP115557,human,sra,data_sources/sra,data_sources,12
SRP168357,human,sra,data_sources/sra,data_sources,30
SRP167457,human,sra,data_sources/sra,data_sources,6
SRP145257,human,sra,data_sources/sra,data_sources,18
SRP199057,human,sra,data_sources/sra,data_sources,6
SRP102557,human,sra,data_sources/sra,data_sources,23
SRP188357,human,sra,data_sources/sra,data_sources,6
SRP095457,human,sra,data_sources/sra,data_sources,3
SRP070657,human,sra,data_sources/sra,data_sources,30
SRP096557,human,sra,data_sources/sra,data_sources,8
SRP052057,human,sra,data_sources/sra,data_sources,6
SRP118957,human,sra,data_sources/sra,data_sources,15
ERP011057,human,sra,data_sources/sra,data_sources,4
SRP026257,human,sra,data_sources/sra,data_sources,5
SRP079257,human,sra,data_sources/sra,data_sources,21
ERP108557,human,sra,data_sources/sra,data_sources,5
SRP166457,human,sra,data_sources/sra,data_sources,9
